"id","Orientation_date","Orientation_time","freq_down","freq_down_unit","batchnumber","true_value_Lon","true_value_lat","true_value_error","result_confidence","false_value_lon","false_value_lat","freq_up","freq_up_unit","multiAccessMode","modulate_pattern","code_Mode","bandwidth","bandwidth_unit","sps","sps_unit","medial_sat_norad","adjacent_sat_norad1","adjacent_sat_norad2"
"923686","2020/6/14","00:01:19","261925","KHz","110","130.808","-12.499","8876","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923687","2020/6/14","00:01:12","252050","KHz","1432","147.176","14.206","25357","0.750","0.000","0.000","293050","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923689","2020/6/14","00:01:50","261925","KHz","110","130.810","-12.481","8879","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923692","2020/6/14","00:02:06","266950","KHz","3350","147.184","14.349","25815","0.750","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","19199","Hz","25258","44637","40892"
"923693","2020/6/14","00:02:15","261925","KHz","110","130.808","-12.484","8881","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923694","2020/6/14","00:01:30","268350","KHz","2976","103.794","1.294","11752","0.890","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9613","Hz","25258","44637","40892"
"923695","2020/6/14","00:00:04","266950","KHz","9972","129.769","24.902","1000","0.990","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923696","2020/6/14","00:02:50","261925","KHz","110","130.809","-12.481","8885","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923700","2020/6/14","00:03:20","261925","KHz","110","130.805","-12.418","8897","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9586","Hz","25258","44637","40892"
"923701","2020/6/14","00:01:01","266950","KHz","9972","129.756","24.815","7001","0.930","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923702","2020/6/14","00:03:48","261925","KHz","110","130.804","-12.413","8900","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9586","Hz","25258","44637","40892"
